market,lat,lon,region,conf,d_act,neighbor_dact_z,local_biv_i,local_p,quad_sig
lon38_529lat8_5215,8.5221,38.52896,Oromia,0.0,-189.2,-0.20447632136907787,0.08165338753957962,0.337,ns
lon38_5388lat11_6058,11.60578,38.53864,Amhara,0.0,56.9,-0.09988911893300578,0.03988865255699638,0.638,ns
lon38_5458lat14_1756,14.17591,38.54498,Tigray,0.0,93.60000000000001,0.47813207795527635,-0.19093215094533048,0.062,ns
lon38_5496lat10_1706,10.17055,38.5495,Oromia,0.0,11.599999999999994,-0.1076604928534096,0.04299198991258359,0.766,ns
lon38_5671lat9_2948,9.29491,38.56691,Oromia,3.0,4.800000000000011,-0.014146797215454055,-0.0014185513028196733,0.946,ns
lon38_5721lat11_68,11.67964,38.56474,Amhara,1.0,-1.0999999999999943,-0.09531039770803448,0.022187782141022922,0.606,ns
lon38_5881lat11_8172,11.81731,38.58819,Amhara,1.0,37.8,-0.11368881925443203,0.02646618641981417,0.573,ns
lon38_5916lat12_3886,12.38779,38.59129,Amhara,3.0,-12.799999999999997,0.27608554204596075,0.027684111067283947,0.297,ns
lon38_5937lat10_1951,10.19517,38.59387,Oromia,2.0,-49.4,0.10329648360294094,-0.006844492570060795,0.733,ns
lon38_5941lat14_2775,14.27782,38.59612,Tigray,0.0,64.39999999999999,0.6802704740764169,-0.27165193641778457,0.017,conf_lo_nbr_up
lon38_5943lat14_1236,14.12146,38.59713,Tigray,0.0,114.10000000000001,0.4491744970628805,-0.17936854025933982,0.071,ns
lon38_5975lat10_5693,10.56935,38.59733,Amhara,0.0,13.099999999999994,0.12994168629546007,-0.051889523430336024,0.59,ns
lon38_6006lat7_2174,7.21723,38.59954,Oromia,4.0,65.4,-0.3167837981583282,-0.08452045097267807,0.257,ns
lon38_6113lat8_71,8.71013,38.61145,Oromia,0.0,-9.0,-0.15637342283007483,0.06244449044145199,0.507,ns
lon38_6116lat10_6592,10.65917,38.61158,Amhara,0.0,-20.200000000000003,0.3008877992387389,-0.12015331610365802,0.168,ns
lon38_6135lat7_0483,7.04839,38.61354,SNNPR,8.0,-15.700000000000017,-0.1496865397633945,-0.13964935405758325,0.582,ns
lon38_614lat5_4859,5.48596,38.61394,Oromia,0.0,-61.7,-0.019933990560435655,0.007960226619607613,0.96,ns
lon38_61lat5_492,5.49207,38.60982,Oromia,0.0,-2.4000000000000057,-0.2922995186218679,0.11672376396376868,0.581,ns
lon38_6216lat12_4803,12.482,38.62099,Amhara,3.0,199.2,0.200186042025469,0.020073389502701548,0.459,ns
lon38_6277lat9_9166,9.91663,38.62773,Oromia,4.0,-128.8,0.18456980601520132,0.04924470042671722,0.507,ns
lon38_6302lat8_5295,8.52947,38.63014,Oromia,0.0,2.1999999999999886,-0.09334560984399755,0.037275637612595336,0.67,ns
lon38_6341lat5_0996,5.09952,38.6341,Oromia,0.0,11.400000000000006,-0.2192706502209105,0.0875611966151656,0.77,ns
lon38_6352lat12_3569,12.35704,38.63515,Amhara,3.0,126.6,0.23562111873700275,0.023626594759630647,0.374,ns
lon38_6411lat11_4626,11.46286,38.64171,Amhara,0.0,-53.7,-0.10369902121845193,0.041410058193201794,0.61,ns
lon38_6419lat10_7113,10.71134,38.64184,Amhara,0.0,-23.39999999999999,0.22911157008994193,-0.09149096431849583,0.288,ns
lon38_6419lat11_1338,11.13379,38.64187,Amhara,0.0,14.100000000000009,-0.33164630935362055,0.13243609060651704,0.131,ns
lon38_6474lat13_8853,13.88665,38.64462,Tigray,0.0,-79.30000000000001,0.5465534315210062,-0.21825480259163504,0.013,conf_lo_nbr_up
