market,lat,lon,region,d_act,Wd_act_centered,lisa,local_p,lisa_sig,conf
lon38_0186lat7_7885,7.78863,38.01843,SNNPR,-70.39999999999999,-15.236433813536284,LL,0.244,ns,1.0
lon38_0267lat13_118,13.118,38.02665,Amhara,41.5,-2.490279967382442,HL,0.776,ns,1.0
lon38_0312lat7_8754,7.87526,38.03141,SNNPR,20.4,-30.03153870864118,HL,0.417,ns,1.0
lon38_0343lat14_0462,14.04723,38.03302,Tigray,8.900000000000006,4.086643109540635,HH,0.912,ns,0.0
lon38_0426lat13_0354,13.03535,38.04258,Amhara,30.30000000000001,-3.4533568904593652,HL,0.797,ns,0.0
lon38_0455lat10_841,10.84104,38.04543,Amhara,-48.60000000000001,22.70043621298891,LH,0.168,ns,0.0
lon38_0463lat12_1253,12.12541,38.04632,Amhara,-26.30000000000001,13.286643109540636,LH,0.507,ns,0.0
lon38_0495lat8_642,8.64216,38.04936,Oromia,-3.1999999999999886,-40.446690223792686,LL,0.777,ns,0.0
lon38_0637lat11_6119,11.61168,38.06545,Amhara,128.4,-5.9325876596901335,HL,0.228,ns,0.0
lon38_0665lat10_6418,10.64188,38.06663,Amhara,89.5,10.336643109540631,HH,0.188,ns,0.0
lon38_072lat11_7177,11.71497,38.07009,Amhara,105.3,-2.4466902237926957,HL,0.525,ns,0.0
lon38_0783lat10_5813,10.58175,38.07812,Amhara,11.799999999999997,13.298181571079091,HH,0.675,ns,0.0
lon38_08lat11_9898,11.98974,38.08003,Amhara,-0.4000000000000057,17.10482492772245,LH,0.955,ns,0.0
lon38_0921lat7_5068,7.50727,38.09262,SNNPR,-3.200000000000003,22.204824927722456,LH,0.857,ns,0.0
lon38_0933lat7_3082,7.31218,38.08547,SNNPR,68.0,-19.533356890459366,HL,0.239,ns,0.0
lon38_0976lat14_1204,14.12039,38.09756,Tigray,36.900000000000006,10.819976442873964,HH,0.575,ns,0.0
lon38_0994lat13_112,13.11211,38.09962,Amhara,31.1,-2.351818428920904,HL,0.841,ns,0.0
lon38_1056lat4_8923,4.89637,38.09197,Oromia,37.400000000000006,80.68664310954064,HH,0.254,ns,1.0
lon38_1071lat13_0061,13.006,38.10717,Amhara,4.900000000000006,3.3937859666834926,HH,0.943,ns,0.0
lon38_1079lat7_1393,7.13987,38.10937,Oromia,-109.0,10.661643109540638,LH,0.241,ns,0.0
lon38_1115lat11_3047,11.30535,38.11086,Amhara,-78.7,-16.73967267993305,LL,0.155,ns,0.0
lon38_1117lat10_8429,10.84295,38.11167,Amhara,114.19999999999999,18.005873878771403,HH,0.07,ns,0.0
